Ladekurvenmessung
Zeit: 2018_05_23 14.55.08
Info: T80, F27N, 1.03
Ladewiderstand[Ohm]: 10000000
Strkapazitt[pF]: 100.000000
Entladezeit[ms]: 100
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 3000.000000
Verzgerung[ms]: 1
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13	Kurve_14	Kurve_15	Kurve_16	Kurve_17	Kurve_18	Kurve_19	Kurve_20	Kurve_21	Kurve_22	Kurve_23	Kurve_24	Kurve_25	Kurve_26	Kurve_27	Kurve_28	Kurve_29	Kurve_30	Kurve_31	Kurve_32	Kurve_33	Kurve_34	Kurve_35	Kurve_36	Kurve_37	Kurve_38	Kurve_39	Kurve_40	Kurve_41	Kurve_42	Kurve_43	Kurve_44	Kurve_45	Kurve_46	Kurve_47	Kurve_48	Kurve_49	Kurve_50	Kurve_51	Kurve_52	Kurve_53	Kurve_54	Kurve_55	Kurve_56	Kurve_57	Kurve_58	Kurve_59	Kurve_60	Kurve_61	Kurve_62	Kurve_63	Kurve_64	Kurve_65	Kurve_66	Kurve_67	Kurve_68	Kurve_69	Kurve_70	Kurve_71	Kurve_72	Kurve_73	Kurve_74	Kurve_75	Kurve_76	Kurve_77	Kurve_78	Kurve_79	Kurve_80	Kurve_81	Kurve_82	Kurve_83	Kurve_84	Kurve_85	Kurve_86	Kurve_87	Kurve_88	Kurve_89	Kurve_90	Kurve_91	Kurve_92	Kurve_93	Kurve_94	Kurve_95	Kurve_96	Kurve_97	Kurve_98	Kurve_99	Kurve_100
12	-1.9e-05	0.010664	0.001789	0.005241	0.004583	0.003926	0.004912	0.004255	-0.032068	0.003433	0.002118	0.002775	0.011815	0.003104	0.003761	0.003761	-1.9e-05	0.006062	0.002775	0.003926	-0.001005	-0.000183	0.005898	0.00294	0.007377	0.007377	0.006556	0.007213	0.005898	0.00787	0.006884	0.00935	0.002775	0.00935	0.011158	0.00787	0.012144	0.012965	0.013294	0.013787	0.012144	-1.9e-05	0.011486	0.002447	0.011979	0.020033	0.011651	0.00672	0.011815	0.008035	0.003433	0.012965	0.014609	0.010829	0.014609	0.011322	0.008035	0.011486	0.012144	0.009678	0.011815	0.000474	0.007049	0.010664	0.009678	0.011651	0.014445	0.011322	0.008857	0.006227	0.006227	0.008528	0.005241	0.008363	-0.007908	0.006062	0.00672	0.008035	0.002282	0.007213	0.005734	0.003926	0.002611	0.00146	0.005734	0.004748	0.002118	0.002611	0.00294	0.004583	0.003926	-0.001005	0.004583	0.000803	0.003926	0.003268	0.003926	0.006062	0.001625	-0.007415
13	0.003268	0.009678	0.002118	0.004748	0.007377	0.004255	0.003926	0.003926	-0.031904	0.003104	0.00409	0.003761	0.011815	0.003761	0.002775	0.002118	-0.003306	0.005734	0.005569	0.003597	-0.002155	0.001296	0.006062	0.002447	0.009678	0.008199	0.006062	0.005734	0.007542	0.007542	0.007706	0.0105	0.005241	0.011651	0.012472	0.005898	0.010664	0.009678	0.0105	0.012965	0.011815	0.001625	0.011815	0.00409	0.007049	0.02069	0.011486	0.007706	0.010171	0.007213	0.005076	0.012637	0.013294	0.010993	0.01313	0.010993	0.009514	0.013787	0.013787	0.0105	0.012144	-0.000183	0.008692	0.010336	0.012308	0.010336	0.011979	0.011158	0.005405	0.009021	0.007049	0.007706	0.007706	0.00787	-0.009716	0.006556	0.005241	0.008363	-0.002155	0.005734	0.006062	0.00787	0.003268	0.002447	0.003268	0.002611	0.001132	0.006062	0.002611	0.002775	0.002282	0.002447	0.00787	0.000639	0.003104	-0.002648	0.00409	0.002282	0.002775	-0.008072
14	0.003268	0.008692	0.003268	0.005241	0.005076	0.002611	0.004748	0.006556	-0.029439	0.000803	0.004912	0.00409	0.011322	0.003597	0.005076	0.004419	-0.002155	0.005898	0.005898	0.002775	-0.002155	0.000639	0.005898	0.004583	0.004255	0.004748	0.006062	0.007213	0.006556	0.006062	0.008035	0.009678	0.003104	0.00935	0.012144	0.005405	0.011651	0.013294	0.012637	0.012965	0.011979	0.000639	0.011651	0.000474	0.010336	0.02069	0.011158	0.005241	0.010007	0.00672	0.004419	0.013294	0.014609	0.010993	0.012637	0.010336	0.009021	0.011979	0.013294	0.012637	0.010336	-1.9e-05	0.005569	0.011651	0.012308	0.012472	0.011815	0.012472	0.005734	0.007706	0.007706	0.007213	0.007049	0.008363	-0.007579	0.004419	0.005241	0.00787	-0.002813	0.004583	0.006227	0.005898	0.004419	0.00294	0.004419	0.003433	0.002447	0.002611	0.002282	0.003926	0.00409	0.006391	0.002282	0.00031	0.003268	0.001132	0.003761	0.002447	0.000803	-0.007579
15	0.000803	0.0105	0.000803	0.005405	0.006391	0.00409	0.004748	0.005569	-0.030918	0.00294	0.003268	0.005076	0.013787	0.005734	0.003926	0.002447	-0.002648	0.004912	0.003761	0.005405	0.000967	0.001954	0.005569	0.003268	0.004255	0.009185	0.004912	0.004255	0.008035	0.006556	0.008035	0.009678	0.003597	0.011322	0.011486	0.006391	0.011651	0.011815	0.012472	0.010993	0.010993	-0.000183	0.011815	0.003433	0.010007	0.01954	0.009843	0.006884	0.011322	0.004748	0.004748	0.01313	0.012637	0.007542	0.014938	0.010664	0.010007	0.011158	0.011651	0.012637	0.012637	-0.00347	0.00787	0.009185	0.010993	0.013952	0.0105	0.010829	0.006884	0.008692	0.00031	0.00672	0.006391	0.006884	-0.008072	0.004583	0.005734	0.009185	-0.001169	0.007706	0.004583	0.007049	0.003926	0.002447	0.00294	0.002775	0.002282	0.003597	0.00146	0.003433	0.002118	0.003104	0.005569	0.000803	0.003597	0.003433	0.003761	0.002447	0.002447	-0.006593
16	0.001789	0.00935	0.003268	0.004583	0.00294	0.005076	0.006556	0.004748	-0.030589	0.00294	0.003597	0.00294	0.009843	0.001296	0.002447	0.002447	-0.003799	0.004583	0.003761	0.002611	-0.000347	-0.006593	0.004912	0.003268	-0.00232	0.006391	0.003761	0.006062	0.007377	0.00787	0.007706	0.010336	0.002282	0.009843	0.01313	0.005569	0.014116	0.011486	0.012144	0.013623	0.010007	0.000639	0.009185	0.002447	0.012637	0.01954	0.010993	0.007706	0.011486	0.006556	0.004748	0.012801	0.01313	0.011158	0.012801	0.00935	0.007377	0.012472	0.013294	0.012801	0.011979	0.000967	0.008199	0.009843	0.011651	0.011322	0.012144	0.0105	0.005076	0.009021	0.00672	0.008199	0.007213	0.006556	-0.009551	0.006062	0.005405	0.00787	-0.001498	0.00409	0.003268	0.005898	0.002282	0.003597	0.003597	0.003104	0.003597	0.003926	0.003268	0.004583	0.003761	0.002447	0.004583	0.000967	0.004748	0.002447	0.001789	0.004748	0.000803	-0.006429
17	0.002611	0.010336	0.001296	0.006556	0.005405	0.003433	0.003926	0.004255	-0.030918	0.000803	0.003761	0.00294	0.010171	-0.000676	0.00409	0.00409	-0.002484	0.004748	0.002118	0.003597	-0.001169	0.00031	0.005734	0.005569	-0.000347	0.006062	0.00672	0.006391	0.008857	0.007049	0.005405	0.010993	0.003433	0.011322	0.011322	0.003597	0.011651	0.010664	0.0105	0.012965	0.011486	0.00146	0.012472	0.000639	0.012472	0.020033	0.009678	0.007049	0.011651	0.007049	0.005076	0.013459	0.013952	0.010336	0.013952	0.010007	0.010171	0.011651	0.011322	0.017403	0.012472	-0.001334	0.008363	0.009021	0.012144	0.011651	0.012965	0.010664	0.005405	0.008528	0.008692	0.007377	0.007542	0.007542	-0.008565	0.005241	0.006884	0.006884	-0.001005	0.006884	0.005241	0.005898	0.00409	0.001625	0.003761	0.004748	0.004912	0.003597	0.001789	-0.000347	0.005076	0.003433	0.004419	-0.000183	0.005405	0.002118	0.004419	0.000803	0.001954	-0.007908
18	0.001954	0.010993	0.001789	0.003268	0.004255	0.001954	0.002775	0.005898	-0.029603	0.003268	0.003104	0.003926	0.010007	0.002282	0.003433	0.00409	-0.003963	0.003926	0.00294	0.002775	-0.001005	0.000146	0.005076	0.003433	-0.004949	0.006556	0.005898	0.006227	0.00787	0.007049	0.007049	0.009843	0.003597	0.008857	0.012308	0.006062	0.011158	0.013623	0.011651	0.011651	0.010993	0.001296	0.011322	0.00146	0.011322	0.020362	0.012637	0.006556	0.011486	0.006556	0.004583	0.013294	0.012472	0.013623	0.012965	0.010664	0.008857	0.012144	0.013787	0.011979	0.013459	-0.000183	0.010171	0.010007	0.011322	0.012144	0.011322	0.008035	0.003761	0.008199	0.005734	0.007706	0.006391	0.004748	-0.009551	0.006062	0.00672	0.010007	-0.000676	0.005076	0.003104	0.005405	0.003104	0.003433	0.00031	0.003926	0.006062	0.00409	0.003268	0.00409	0.003597	0.003268	0.00294	0.001625	0.003433	0.002118	0.005076	0.001954	0.003268	-0.007415
19	0.002611	0.010829	0.001296	0.007377	0.007377	0.002775	0.004748	0.003268	-0.029932	-0.000676	0.004748	0.001954	0.011322	0.002447	0.005405	0.003926	-0.001498	0.005405	0.004255	0.006062	-0.002155	0.001625	0.005734	0.004583	-0.001827	0.00935	0.003104	0.006062	0.006884	0.00787	0.007706	0.012144	0.002447	0.011486	0.011486	0.007049	0.013459	0.010664	0.010007	0.012308	0.010829	0.001625	0.011979	0.001789	0.012965	0.018718	0.011158	0.006062	0.012308	0.010664	0.005734	0.013787	0.014445	0.010993	0.012637	0.007377	0.009678	0.012801	0.013459	0.013952	0.014609	-0.000347	0.00935	0.009843	0.011979	0.013787	0.011486	0.010664	0.004912	0.008692	0.00672	0.00672	0.007377	0.006556	-0.006757	0.00294	0.004912	0.006391	-0.001827	0.006884	0.00672	0.006556	0.002775	0.00294	0.001789	0.005241	0.003597	0.004748	0.00294	0.002118	0.003761	0.00294	0.003926	-0.000183	0.003761	0.002611	0.003268	0.001296	0.004419	-0.006593
20	0.001132	0.008857	0.002611	0.006227	0.005405	0.000639	0.004583	0.003104	-0.030096	0.00294	0.00294	0.003761	0.008363	0.002775	0.003926	0.00294	-0.002648	0.002118	0.002282	0.003104	-0.000676	0.000639	0.005569	0.003433	-0.004785	0.004419	0.005405	0.007706	0.007213	0.008035	0.005898	0.009185	0.002118	0.010664	0.012965	0.00787	0.012637	0.011979	0.011651	0.014116	0.009843	0.001789	0.012308	0.001789	0.011815	0.01954	0.011651	0.006227	0.011158	0.006884	0.002611	0.015102	0.01428	0.008692	0.011979	0.006556	0.008857	0.013787	0.012144	0.013787	0.010336	0.00031	0.010336	0.011158	0.011979	0.011651	0.0105	0.010993	0.006062	0.011322	0.007542	0.006556	0.008035	0.008363	-0.008894	0.008035	0.005076	0.007377	-0.000676	0.00672	0.004255	0.006884	0.003926	0.00409	0.00146	0.00409	0.002118	0.004583	0.00294	0.002611	0.004419	0.003597	0.002611	0.001132	0.003104	0.001296	0.003926	0.003268	0.005898	-0.006593
21	0.002611	0.010664	0.002447	0.004419	0.006391	0.002611	0.004748	0.002282	-0.030425	0.002611	0.00409	0.002282	0.011486	0.000803	0.00294	0.003433	-0.003306	0.006062	0.005405	0.006227	-0.001169	0.003104	0.007706	0.005241	-0.002977	0.006556	0.006884	0.007213	0.00787	0.008857	0.006391	0.009021	0.001789	0.0105	0.010664	0.005405	0.012637	0.013294	0.011158	0.012472	0.00935	0.002447	0.0105	0.000967	0.011158	0.021019	0.010664	0.007377	0.013294	0.006556	0.003597	0.013623	0.014116	0.010007	0.014938	0.011322	0.009678	0.011979	0.012472	0.012308	0.011651	-1.9e-05	0.00787	0.00935	0.009185	0.011486	0.011322	0.00935	0.005076	0.008035	0.006062	0.009843	0.006556	0.005241	-0.008401	0.006884	0.007377	0.009678	0.001954	0.005241	0.006227	0.006556	0.004583	0.001954	0.004912	0.004748	0.003761	0.003597	0.002118	0.005405	0.003104	0.004255	0.002775	0.000639	0.003761	0.002775	0.003104	0.002775	0.002118	-0.006429
22	0.000803	0.010171	0.004419	0.005241	0.003926	0.002282	0.002447	0.003268	-0.030754	0.001132	0.004419	0.004748	0.009185	0.001132	0.003268	0.003433	-0.001991	0.003268	0.00409	0.005734	-0.002977	0.000967	0.007706	0.001296	-0.003142	0.00409	0.006062	0.006062	0.006556	0.00935	0.006062	0.011158	0.001296	0.011322	0.011651	0.004419	0.011158	0.011486	0.010829	0.013623	0.010336	0.003926	0.012965	0.006062	0.012308	0.019375	0.013623	0.009021	0.011322	0.007542	0.005734	0.013623	0.013459	0.011486	0.011651	0.011486	0.009678	0.012472	0.013787	0.012965	0.013294	-0.000347	0.009678	0.012144	0.010993	0.012144	0.010829	0.011486	0.004583	0.007542	0.006062	0.008035	0.008035	0.007542	-0.00873	0.007377	0.005241	0.008035	-0.000183	0.004255	0.004748	0.002447	0.003104	0.003761	0.002611	0.003761	0.004912	0.003761	0.003268	0.001954	0.00031	0.003597	0.002118	0.003104	0.003268	0.001625	0.002447	0.002775	0.002775	-0.0061
23	0.000803	0.010993	0.002282	0.005734	0.00146	0.003761	0.00294	0.004255	-0.028288	0.003597	0.003597	0.004583	0.0105	0.003761	0.004419	0.003761	-0.002484	0.005569	0.004912	0.005734	-0.001991	0.000474	0.008363	0.002282	0.00031	0.005076	0.006884	0.007049	0.008528	0.00787	0.004419	0.00672	0.003761	0.0105	0.01313	0.006556	0.012308	0.01428	0.010336	0.01313	0.0105	0.000803	0.014773	0.003268	0.012308	0.019704	0.011815	0.007049	0.012801	0.006556	0.003926	0.013294	0.015924	0.008857	0.013623	0.009843	0.008035	0.012472	0.013787	0.012965	0.011651	-0.000512	0.008857	0.011979	0.010664	0.011979	0.010993	0.011486	0.00672	0.008857	0.007542	0.008199	0.007213	0.00672	-0.008072	0.00672	0.004912	0.00935	0.001132	0.005898	0.004912	0.005569	0.00294	0.00294	0.00409	0.004255	0.002775	0.003761	0.002447	0.002118	0.002447	0.003926	0.002447	-0.000841	0.003597	0.004748	0.002611	0.003104	0.00294	-0.006757
